Grattan_record	Symbol	Company	Project	Date start	Completion date	Status	Major industry	Sub-industry	State	Employment Construction	Operation	Contact No.	sheet	Start date	Employment Operation	Change 	Production date	               Employment Construction	End date	Major sector	Sub-sector	Ownership	Capacity	Units	Project detail changes	Statistical Division	Cost_estimate	Lucille_Ownership	Record_date	Cost_estimate_real	Final_status_historical
1894.0	#	Australian Transport Networks	Upgrade of Emu Bay railway	1998	2002	Under construction	Transport & Storage	Rail	Tasmania	NA	NA	798.0	Mar 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9e7	Public	2001-03-01	146334841.62895927	Completed
1894.0	#	Australian Transport Networks	Upgrade of Emu Bay railway	1998	2002	Under construction	Transport & Storage	Rail	Tasmania	NA	NA	785.0	Jun 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9e7	Public	2001-06-01	147e6	Completed
1894.0	#	Australian Transport Networks	Upgrade of Emu Bay railway	1998	2002	Under construction	Transport & Storage	Rail	Tasmania	NA	NA	852.0	Sep 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9e7	Public	2001-09-01	145675675.6756757	Completed
1894.0	#	Australian Transport Networks	Upgrade of Emu Bay railway	1998	2002	Under construction	Transport & Storage	Rail	Tasmania	NA	NA	785.0	Dec 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9e7	Public	2001-12-01	144805970.14925373	Completed
2028.0	NA	Vic Roads / RTA	Bridge over Murray River, Robinvale	Planning and consultation complete	NA	Under consideration	Transport & Storage	Road	Victoria	NA	NA	863.0	Mar 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17e7	Public	2001-03-01	276410256.41025645	Completed
2028.0	NA	Vic Roads / RTA	Bridge over Murray River, Robinvale	Planning and consultation complete	NA	Under consideration	Transport & Storage	Road	Victoria	NA	NA	856.0	Jun 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17e7	Public	2001-06-01	277666666.6666667	Completed
2028.0	NA	Vic Roads / RTA	Bridge over Murray River, Robinvale	Planning and consultation complete	NA	Under consideration	Transport & Storage	Road	Victoria	NA	NA	928.0	Sep 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17e7	Public	2001-09-01	275165165.1651652	Completed
2028.0	NA	Vic Roads / RTA	Bridge over Murray River, Robinvale	Planning and consultation complete	NA	Under consideration	Transport & Storage	Road	Victoria	NA	NA	855.0	Dec 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17e7	Public	2001-12-01	273522388.0597015	Completed
2028.0	NA	Vic Roads / RTA	Bridge over Murray River, Robinvale	Planning and consultation complete	NA	Under consideration	Transport & Storage	Road	Victoria	NA	NA	822.0	Mar 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17e7	Public	2002-03-01	271094674.556213	Completed
2028.0	~^	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	NSW Budget commitment 2002/03	NA	Committed	Transport & Storage	Road	New South Wales	NA	NA	562.0	Jun 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4e8	Public	2002-06-01	631332357.2474378	Completed
2028.0	^	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	2002	NA	Under construction	Transport & Storage	Road	New South Wales	NA	NA	526.0	Sep 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4e8	Public	2002-09-01	625834542.8156748	Completed
2028.0	^	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	NSW and Vic govt planning underway	NA	Under consideration	Transport & Storage	Road	New South Wales	NA	NA	532.0	Dec 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4e8	Public	2002-12-01	621325648.4149855	Completed
2028.0	NA	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	NSW and Vic govt planning underway	NA	Under consideration	Transport & Storage	Road	New South Wales	NA	NA	519.0	Mar 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4e8	Public	2003-03-01	611631205.6737589	Completed
2028.0	~^	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	2H 2003	2005	Committed	Transport & Storage	Road	New South Wales	NA	NA	509.0	Jun 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4e8	Public	2003-06-01	597229916.897507	Completed
2028.0	^	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	2H 2003	2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	513.0	Sep 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4e8	Public	2003-09-01	585074626.8656716	Completed
2028.0	NA	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	2H 2003	2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	496.0	Dec 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4e8	Public	2003-12-01	578016085.7908847	Completed
2028.0	NA	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	2H 2003	2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	496.0	Mar 2004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4e8	Public	2004-03-01	563660130.7189542	Completed
2028.0	~	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	2H 2003	2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	496.0	Jun 2004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51e7	Public	2004-06-01	703043478.2608695	Completed
2028.0	NA	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	2H 2003	2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	579.0	Sep 2004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51e7	Public	2004-09-01	692418136.0201511	Completed
2028.0	NA	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	2H 2003	2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	579.0	Dec 2004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51e7	Public	2004-12-01	677903822.4414303	Completed
2028.0	NA	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	NA	2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	478.0	Mar 2005	2H 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51e7	Public	2005-03-01	665593220.338983	Completed
2028.0	NA	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	NA	2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	448.0	Jun 2005	2H 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51e7	Public	2005-06-01	658419161.6766467	Completed
