Grattan_record	Symbol	Company	Cost ($m)	Project	Date start	Completion date	Status	Major industry	Sub-industry	State	Employment Construction	Operation	Contact No.	sheet	Start date	Employment Operation	Change 	Total cost	Production date	               Employment Construction	Total cost $m	End date	Major sector	Sub-sector	Ownership	Capacity	Units	Project detail changes	Statistical Division	Lucille_Ownership
1431.0	NA	Australian Transport & Energy Corridor Co	NA	Melbourne - Brisbane inland railway	NA	NA	Possible	Transport & Storage	Rail	Unallocated	NA	NA	87.0	Sep 2009	Pre-feasibility study to be undertaken	NA	NA	NA	NA	NA	3e3	NA	Engineering	Railways	Private	NA	NA	NA	NA	Public
5578.0	NA	RiverCity Motorway group	NA	Clem7 - North South Bypass Tunnel, Stage 1 (connects the South East Freeway / Pacific Motorway in the south to the Inner City Bypass in the north )	NA	NA	Under construction	Transport & Storage	Road	Queensland	NA	NA	NA	Sep 2009	38930	NA	NA	NA	NA	NA	3e3	40452	Engineering	Roads, highways and subdivisions	PPP	NA	NA	NA	NA	Public
5578.0	NA	RiverCity Motorway group	NA	Clem7 - North South Bypass Tunnel, Stage 1 (connects the South East Freeway / Pacific Motorway in the south to the Inner City Bypass in the north )	NA	NA	Under construction	Transport & Storage	Road	Queensland	NA	NA	NA	Dec 2009	38930	NA	NA	NA	NA	NA	3e3	40269	Engineering	Roads, highways and subdivisions	PPP	6.8	km	Nov09: The project will be completed by April 2010. 	NA	Public
7441.0	NA	Freight Link Pty Ltd	NA	Purchase of 100 'well wagons' and development of infrastructure including new siding to Tennant Creek	NA	NA	Under consideration	Transport & Storage	Rail	Northern Territory	NA	NA	288.0	Sep 2009	Plans announced	NA	NA	NA	NA	NA	30.0	End 2006	Engineering	Railways	Private	NA	NA	NA	NA	Public
7658.0	NA	Mildura Murray Outback Tourism	NA	Railway line directly linking Melbourne and Darwin	NA	NA	Possible	Transport & Storage	Rail	Unallocated	NA	NA	NA	Sep 2009	Plans announced	NA	NA	NA	NA	NA	230.0	NA	Engineering	Railways	Public	NA	NA	NA	NA	Private
7686.0	NA	Patrick Corporation	NA	New rail terminal, directly behind East Swanson Dock, Port Melbourne	NA	NA	Under consideration	Transport & Storage	Rail	Victoria	NA	NA	520.0	Sep 2009	Plans announced	NA	NA	NA	NA	NA	NA	NA	Engineering	Railways	Private	NA	NA	NA	NA	Public
7952.0	NA	Australian Transport & Energy Corridor	NA	Construction of an inland railway from Surat coal basin to the Port of Gladstone	NA	NA	Possible	Transport & Storage	Rail	Queensland	NA	NA	87.0	Sep 2009	2009	NA	NA	NA	NA	NA	775.0	2012	Engineering	Railways	Private	NA	NA	NA	NA	Public
7952.0	NA	Australian Transport & Energy Corridor	NA	Construction of an inland railway from Surat coal basin to the Port of Gladstone	NA	NA	Possible	Transport & Storage	Rail	Queensland	NA	NA	87.0	Dec 2009	2009	NA	NA	NA	NA	NA	775.0	2012	Engineering	Railways	Private	NA	NA	NA	NA	Public
7952.0	NA	Australian Transport & Energy Corridor	NA	Construction of an inland railway from Surat coal basin to the Port of Gladstone	NA	NA	Possible	Transport & Storage	Rail	Queensland	NA	NA	87.0	Mar 2010	2009	NA	NA	NA	NA	NA	775.0	2012	Engineering	Railways	Private	NA	NA	NA	NA	Public
7952.0	NA	Australian Transport & Energy Corridor	NA	Construction of an inland railway from Surat coal basin to the Port of Gladstone	NA	NA	Possible	Transport & Storage	Rail	Queensland	NA	NA	87.0	Jun 2010	2009	NA	NA	NA	NA	NA	775.0	2012	Engineering	Railways	Private	NA	NA	NA	NA	Public
7952.0	NA	Australian Transport & Energy Corridor	NA	Construction of an inland railway from Surat coal basin to the Port of Gladstone	NA	NA	Possible	Transport & Storage	Rail	Queensland	NA	NA	87.0	Sep 2010	2009	NA	NA	NA	NA	NA	775.0	2012	Engineering	Railways	Private	NA	NA	NA	NA	Public
7952.0	NA	Australian Transport & Energy Corridor	NA	Construction of an inland railway from Surat coal basin to the Port of Gladstone	NA	NA	Committed	Transport & Storage	Rail	Queensland	NA	NA	91.0	Dec 2010	Approvals granted for a 2011 start	NA	~^	NA	NA	NA	1e3	2014	Engineering	Railways	Private	NA	NA	Dec10: Project is expecting to commence construction in 2011.	NA	Public
7952.0	NA	Australian Transport & Energy Corridor	NA	Construction of an inland railway from Surat coal basin to the Port of Gladstone	NA	NA	Committed	Transport & Storage	Rail	Queensland	NA	NA	92.0	Mar 2011	Approvals granted for a 2011 start	NA	NA	NA	NA	NA	1e3	2014	Engineering	Railways	Private	NA	NA	NA	NA	Public
7952.0	NA	Australian Transport & Energy Corridor	NA	Construction of an inland railway from Surat coal basin to the Port of Gladstone	NA	NA	Committed	Transport & Storage	Rail	Queensland	NA	NA	92.0	Jun 2011	Approvals granted for a 2011 start	NA	NA	NA	NA	NA	1e3	2014	Railways	Engineering	Private	NA	NA	NA	NA	Public
7952.0	NA	Australian Transport & Energy Corridor	NA	Construction of an inland railway from Surat coal basin to the Port of Gladstone	NA	NA	Committed	Transport & Storage	Rail	Queensland	NA	NA	93.0	Sep 2011	Approvals granted for a 2011 start	NA	NA	NA	NA	NA	1e3	2014	Engineering	Railways	Private	NA	NA	NA	NA	Public
7952.0	NA	Australian Transport & Energy Corridor	NA	Construction of an inland railway from Surat coal basin to the Port of Gladstone	NA	NA	Committed	Transport & Storage	Rail	Queensland	NA	NA	93.0	Dec 2011	Approvals granted for a 2012 start	NA	~	NA	NA	NA	1e3	2014	Engineering	Railways	Private	NA	NA	Dec11: Project expects to commence construction in 2012.	NA	Public
7952.0	NA	Australian Transport & Energy Corridor	NA	Construction of an inland railway from Surat coal basin to the Port of Gladstone	NA	NA	Committed	Transport & Storage	Rail	Queensland	NA	NA	40.0	Mar 2012	Approvals granted for a 2012 start	NA	NA	NA	NA	NA	1e3	2014	Engineering	Railways	Private	NA	NA	NA	Fitzroy	Public
7952.0	NA	Australian Transport & Energy Corridor	NA	Construction of an inland railway from Surat coal basin to the Port of Gladstone	NA	NA	Under consideration	Transport & Storage	Rail	Queensland	NA	NA	40.0	Jun 2012	Final investment decision due in 2012	NA	~^	NA	NA	NA	1e3	2014	Engineering	Railways	Private	NA	NA	Jun12: Final investment decision due in 2012.	Fitzroy	Public
7952.0	NA	Australian Transport & Energy Corridor	NA	Construction of an inland railway from Surat coal basin to the Port of Gladstone	NA	NA	Committed	Transport & Storage	Rail	Queensland	NA	NA	40.0	Sep 2012	Construction to commence in the coming months.	NA	NA	NA	NA	NA	1e3	2014	Engineering	Railways	Private	NA	NA	NA	Fitzroy	Public
7952.0	NA	Australian Transport & Energy Corridor	NA	Construction of an inland railway from Surat coal basin to the Port of Gladstone	NA	NA	Committed	Transport & Storage	Rail	Queensland	NA	NA	53.0	Dec 2012	Construction to commence in the coming months.	NA	NA	NA	NA	NA	1e3	2014	Engineering	Railways	Private	NA	NA	NA	Fitzroy	Public
7952.0	NA	Australian Transport & Energy Corridor	NA	Construction of an inland railway from Surat coal basin to the Port of Gladstone	NA	NA	Committed	Transport & Storage	Rail	Queensland	NA	NA	55.0	Mar 2013	Construction to commence in the coming months.	NA	NA	NA	NA	NA	1e3	2014	Engineering	Railways	Private	NA	NA	NA	Fitzroy	Public
7952.0	NA	Surat Basin Rail (JV Partners ATEC Rail, Aurizon, Xstrata)	NA	Construction of an inland railway from Surat coal basin to the Port of Gladstone	NA	NA	Under consideration	Transport & Storage	Rail	Queensland	NA	NA	NA	Jun 2013	FID due in 2013	NA	~	NA	NA	NA	1e3	2016	Engineering	Railways	Private	214.0	km	Apr13: Start comment amended. End date pushed back to 2016.	Fitzroy	Public
7952.0	NA	Surat Basin Rail (JV Partners ATEC Rail, Aurizon, Xstrata)	NA	Construction of an inland railway from Surat coal basin to the Port of Gladstone	NA	NA	Under consideration	Transport & Storage	Rail	Queensland	NA	NA	NA	Sep 2013	FID due in 2013	NA	NA	NA	NA	NA	1e3	2016	Engineering	Railways	Private	214.0	km	NA	Fitzroy	Public
